title,description,release_year,genres_list,rating,votes,directors,actors,runtime_minutes
#FriendButMarried 2,"Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.",2020.0,['Biography'],6.5,120,Rako Prijanto,"['Adipati Dolken', 'Mawar Eva de Jongh', 'Vonny Cornellya', 'Sari Nila', 'Ivan Leonardy', 'Clay Gribble', 'Sarah Sechan', 'Jourdy Pranata', 'Tubagus Ali', 'Ravil Prasetya', 'Nagra Kautsar Pakusadewo', 'Canti Tachril', 'Thalia Basir', 'Sp Lili', 'Anna Tairas']",100 minutes
4 Mantan,"Sara, Airin, Rachel, and Amara were accidentally brought together after the death of their ex, Alex. All four received a letter saying that there was one killer among them.",2020.0,['Thriller'],6.4,8,Hanny Saputra,"['Ranty Maria', 'Jeff Smith', 'Melanie Berentz', 'Denira Wiraguna', 'Melayu Nicole', 'Cinta Brian', 'Delano Daniel', 'Denny Weller', 'Mario Wiericx', 'Wani Siregar', 'Gary M. Iskak', 'Akja Dethan', 'Ayu Dyah Pasha', nan, nan]",80 minutes
Aku Tahu Kapan Kamu Mati,"After apparent death, Siena is able to see signs that people will die. However, her friends did not believe in her abilities. Then, the sign appeared on her and those closest to her.",2020.0,['Horror'],5.4,17,Hadrah Daeng Ratu,"['Natasha Wilona', 'Ria Ricis', 'Al Ghazali', 'Fitria Rasyidi', 'Ryma Karimah', 'Sonia Alexa', 'Asri Welas', 'Cathrine Wilson', 'Opie Kumis', 'Adinda Halona', 'Elizabeth Christine', 'Daus Separo', 'Rita Nurmaliza', 'Anastasia Adamova', nan]",92 minutes
Anak Garuda,"Good Morning Indonesia, a school for poor orphans, invites seven children to become a team. But, jealousy and envy started because of the hidden love between them. They are sent to Europe without accompany, and the conflicts are exploded.",2020.0,['Adventure'],9.1,27,Faozan Rizal,"['Tissa Biani Azzahra', 'Violla Georgie', 'Ajil Ditto', 'Clairine Clay', 'Geraldy Krechoff', 'Rania Putri Sari', 'Rebecca Klopper', 'Kiki Narendra', 'Krisjiana Baharuddin', 'Rizky Mocil', 'Faradina Mufti', 'Laras Sardi', 'Fatih Unru', 'Iqbal Solaiman', 'Toran Waibro']",129 minutes
Dignitate,"Alfi (Al Ghazali) meets Alana (Caitlin Halderman), a new student at school. It turns out that they are in one class and sitting next to each other. Instead of getting along, they often argue because they both are stubborn.",2020.0,['Drama'],7.6,33,Fajar Nugros,"['Al Ghazali', 'Caitlin Halderman', 'Giorgino Abraham', 'Teuku Rizky Muhammad', 'Sophia Latjuba', 'Izabel Jahja', 'Budiman Sudjatmiko', 'Sonia Alyssa', 'Naimma Aljufri', 'Kiara Mckenna', 'Lania Fira', 'Kanneth Santana', 'Bramanta Sadhu', 'Dinda Kanyadewi', 'Mat Oil']",109 minutes
Guru-Guru Gokil,"When staff salaries get stolen at his school, a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching.",2020.0,['Comedy'],6.1,153,Sammaria Simanjuntak,"['Gading Marten', 'Boris Bokir', 'Kevin Ardilova', 'Ibnu Jamil', 'Shakira Jasmine', 'Faradina Mufti', 'Nikandro Mailangkay', 'Dian Sastrowardoyo', 'Arswendi Nasution', 'Asri Welas', 'Kiki Narendra', 'Jean Marais', 'Sri Hartini', 'Aimee Saras', 'Tony Merle']",101 minutes
Hunter in the Blue Side of Manchester,"This movie tells the story of Hanif Thamrin (Adipati Dolken) leaving his hometown and trying to pursue his dream to become the only Indonesian at that time who works in the biggest soccer league in the world, English Premier League.",2020.0,['Biography'],6.2,21,Rako Prijanto,"['Adipati Dolken', 'Ganindra Bimo', 'Vonny Cornellya', 'Donny Alamsyah', 'Eddie Addison', 'Luis Amália', 'Priscila Araujo', 'Juliana Barros', 'Sabean Bea', 'Kiera Bell', 'Jamie Buchanan', 'Maurice Byrne', 'Ian Frost', 'Milica Guceva', 'Yasmin Hodges']",90 minutes
Janin,"Randu (Reuben Elishama Hadju) and Dinar (Jill Gladys) are happy because Dinar conceives for the fourth month. However, their happiness slowly disappears when a middle-aged woman, Sukma (...",2020.0,['Horror'],6.1,7,Ook Budiyono,"['Jill Gladys', 'Reuben Elishama', 'Meriam Bellina', 'Arnold Leonard', 'Babe Cabita', 'Rhesa Putri', 'Richelle Georgette Skornicki', 'Regina Rengganis', 'Dayu Wijanto', nan, nan, nan, nan, nan, nan]",85 minutes
Mangkujiwo,A born of Kuntilanak from a Twin Mirror with her misery.,2020.0,['Horror'],5.9,67,Azhar Kinoi Lubis,"['Sujiwo Tejo', 'Yasamin Jasem', 'Asmara Abigail', 'Roy Marten', 'Karina Suwandhi', 'Djenar Maesa Ayu', 'Samuel Rizal', 'Septian Dwi Cahyo', 'Kedung Darma R.', 'Landung Simatupang', 'Merriel Jessica Tarihoran', 'Elang El Gibran', 'Marcus Hacquebord', 'Gogot Suryanto', 'Kukuh']",109 minutes
Mariposa,"Iqbal (Angga Yunanda) is like a Mariposa butterfly to Acha (Adhisty Zara). Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold.",2020.0,['Drama'],8.5,54,Fajar Bustomi,"['Angga Yunanda', 'Adhisty Zara', 'Dannia Salsabila', 'Abun Sungkar', 'Junior Roberts', 'Syakir Daulay', 'Ariyo Wahab', 'Irgi Fahrezi', 'Ersa Mayori', 'Baim', 'Iszur Muchtar', 'Ruth Permatasari', 'Yudha Keling', 'Diaz Danar', 'Aris Nugraha']",117 minutes
